chinese,mexican,pizza,bars,bbq,southern,steak
3.928315412,3.865079365,3.824854651,4.015904018,3.858708189,3.908130081,3.715384615
3.194444444,3.697570332,3.980711044,3.677796804,3.178756477,3.893162393,3.534924331
4.005896226,4.295265349,4.234070858,4.15198207,4.28748019,3.816333333,3.802968686
3.808605341,3.703389831,3.696666667,3.678185745,4.198312236,3.8,3.652542373
3.996068047,4.283963871,4.006554889,4.110301508,4.108743774,3.784998482,4.06418305
3.882662314,4.122801988,4.023766816,4.141137474,4.01762002,3.852770619,3.901139241
3.851351351,3.841860465,3.923828125,3.98046875,3.586538462,3.747746,3.348484848
3.324561404,3.800699301,3.649093904,3.55982906,4.071428571,3.747746,3.407407407
3.716556291,3.695848678,3.987375746,4.050464871,3.598173516,3.459000579,3.927838896
3.908438061,3.868081677,4.045617174,4.041139241,3.8609375,4.164204545,3.485404896
3.800575816,3.986833953,4.121016828,3.945564811,3.972988396,3.948556062,4.008399742
3.682847192,3.471357127,3.811685668,4.099858919,3.933724165,3.00877193,3.818658759
3.400722022,3.489503817,3.927017226,3.728058511,3.953287197,4,3.858778626
3.801326531,4.022701067,3.951442308,4.111652757,3.905454678,3.678308282,4.018721149
3.950920245,4.134082397,3.938115632,4.011612763,3.825620767,3.496835443,3.927956646
3.672077922,3.942996743,3.96969697,4.084777228,4.16419295,5,3.777960526
3.895498392,3.86391129,3.882142857,3.647058824,3.855882353,3.747746,3.408366534
3.801369863,3.987518911,3.798611111,3.955363985,4.148230088,4.094242902,3.7528
3.398904382,3.780649228,3.861203221,4.159890247,4.065827487,4.061425643,3.819989107
3.732758621,3.47761194,4.098901099,3.939522998,3.669354839,3.5,3.436293436
3.426559356,3.478658537,3.909207571,4.120689655,4.024675325,3.959553159,3.807387863
3.751072961,3.853443143,3.998919464,3.947916667,3.547553093,3.405130293,3.829739777
3.949197861,3.804166667,4.159917355,4.028579513,3.734256243,3.920940171,3.866641045
3.634661836,3.780427632,4.023195084,3.954245554,3.608562691,4.395180723,3.881056466
3.843373494,3.1875,4.0125,3.544850498,4.28342246,4.108007449,3.783333333
3.801248699,3.737718341,3.915547521,4.026062028,3.985634711,4.163716814,3.911689962
3.097087379,3.171378092,3.560483871,3.840686275,3.816793893,4,3.648305085
3.663165266,3.781096275,3.793618466,4.003722084,3.696569921,3.9,3.686423841
3.79150318,4.207506574,4.082751853,4.2258504,3.73048031,3.888023369,4.083679241
3.383165829,3.953727506,3.680701754,3.429015544,3.5,3.747746,3.624352332
3.755555556,3.750716332,3.834821429,3.924345848,3.734126984,3.84057971,4.158333333
4.002693966,3.903134255,3.887125749,3.633480176,3.766143106,4,3.569002123
4.05053302,4.09476396,4.032173645,4.335435554,3.728820549,3.615944482,4.142998679
3.689602446,3.741661613,3.885203056,3.941556656,3.80643981,3.925276243,3.872028326
3.880645161,3.558333333,3.601470588,3.947519084,3.513513514,3.747746,3.282608696
3.824185766,3.833751568,4.041958042,4.035460058,3.708729473,4.035181237,3.799226651
3.829104478,3.79472693,4.065114068,3.852212856,3.908333333,3.837774295,3.774981217
3.856452726,4.082863585,4.085288882,4.263525699,3.925670075,4.202659264,3.89652157
3.949810606,3.894899455,4.129214981,4.038865721,3.80952381,3.807780759,3.972150714
3.741363212,3.627124183,3.908932462,4.070365778,3.26433121,3.5,4.096227621
3.730337079,3.696095076,3.587890625,3.86496063,4.159210526,4.087686567,3.598081023
3.772988506,3.919172932,3.360824742,3.551522248,3.680327869,4,3.382022472
3.741780822,3.608880309,3.87756779,3.92752809,3.908004901,4.176583211,3.675306315
3.846118299,3.97984252,3.960899654,3.993005856,3.745964738,3.782444549,4.004362645
3.665183867,4.258059832,3.906468531,3.761810155,3.812371134,3.5,3.49704579
3.66367713,3.540322581,4.200483092,3.701846154,4,3.747746,3.551351351
4.011848341,3.555032372,3.909634055,3.658832746,3.692265795,3.56043956,3.634676564
3.876324218,4.020789091,4.045541663,4.285386381,3.799200913,3.90605428,3.829550088
3.71875,3.648648649,4.144736842,3.966357309,3.833333333,4.21875,3.166666667
3.545092838,3.883101296,3.879262926,4.313620635,4.024390244,4.439632546,4.084281282
3.227272727,3.43647541,3.604477612,3.248407643,3.626666667,4.5,3.29109589
